Player,Nation,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Position_2,Position,League
Nayef Aguerd,MAR,West Ham,27,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,,Defender,Premier League
Ruben Aguilar,FRA,Lens,30,1993,21.4,1044,1282,81.4,15383,5987,594,666,89.2,369,443,83.3,44,93,47.3,3,2.9,4.0,+0.1,26,73,42,14,110,,Defender,Ligue 1
Brandon Aguilera,CRC,Nott'ham Forest,20,2003,0.1,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,,Forward,Premier League
Naouirou Ahamada,FRA,Crystal Palace,21,2002,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,Forward,Midfielder,Premier League
Anel Ahmedhodžić,BIH,Sheffield Utd,24,1999,29.4,745,988,75.4,12681,5037,334,384,87.0,345,422,81.8,53,137,38.7,0,0.8,0.6,-0.8,7,41,3,1,43,,Defender,Premier League
Joseph Aidoo,GHA,Celta Vigo,27,1995,4.5,145,185,78.4,2918,1187,41,46,89.1,84,102,82.4,19,35,54.3,0,0.1,0.0,-0.1,1,8,1,0,12,,Defender,La Liga
Ola Aina,NGA,Nott'ham Forest,26,1996,18.8,603,802,75.2,9610,4012,328,374,87.7,217,284,76.4,45,99,45.5,1,0.9,1.0,+0.1,11,58,13,6,68,,Defender,Premier League
Rayan Aït-Nouri,ALG,Wolves,22,2001,25.9,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1,2.4,1.7,-1.4,25,60,13,4,99,Midfielder,Defender,Premier League
Tosin Aiyegun,BEN,Lorient,25,1998,10.0,154,203,75.9,2377,486,73,98,74.5,58,70,82.9,10,15,66.7,0,0.3,0.3,-0.3,7,7,2,0,16,Forward,Midfielder,Ligue 1
Kristoffer Ajer,NOR,Brentford,25,1998,20.4,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,,Defender,Premier League
Ludovic Ajorque,FRA,Mainz 05,29,1994,15.1,318,453,70.2,4546,479,172,241,71.4,105,145,72.4,15,19,78.9,0,1.0,1.6,-1.0,16,21,3,0,21,,Forward,Bundesliga
Manuel Akanji,SUI,Manchester City,28,1995,27.9,2180,2334,93.4,35688,9787,1091,1136,96.0,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148,Midfielder,Defender,Premier League
Marley Aké,FRA,Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Forward,Serie A
Nathan Aké,NED,Manchester City,28,1995,22.7,1716,1864,92.1,26189,8717,882,921,95.8,750,796,94.2,43,85,50.6,2,1.2,1.1,+0.8,10,148,5,1,116,,Defender,Premier League
Ilias Akhomach,MAR,Villarreal,19,2004,16.8,372,481,77.3,5109,1318,239,275,86.9,101,133,75.9,14,28,50.0,2,2.6,2.5,-0.6,21,20,24,6,45,Forward,Midfielder,La Liga
Sergio Akieme,ESP,Almería,25,1997,18.6,620,801,77.4,10224,3150,314,346,90.8,247,298,82.9,48,111,43.2,0,2.2,2.1,-2.2,17,30,14,12,28,,Defender,La Liga
Sergio Akieme,ESP,Reims,25,1997,9.1,277,350,79.1,4318,1253,148,163,90.8,109,133,82.0,14,37,37.8,0,0.4,0.4,-0.4,6,15,4,2,20,,Defender,Ligue 1
Ebenezer Akinsanmiro,NGA,Inter,18,2004,0.2,7,8,87.5,83,45,6,6,100.0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,1,1,1,0,2,,Midfielder,Serie A
Maghnes Akliouche,FRA,Monaco,21,2002,17.9,645,833,77.4,9118,2859,380,444,85.6,196,246,79.7,32,69,46.4,4,3.5,3.4,+0.5,38,64,38,3,93,Forward,Midfielder,Ligue 1
Paul Akouokou,CIV,Betis,25,1997,0.3,16,17,94.1,280,65,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,,Midfielder,La Liga
Paul Akouokou,CIV,Lyon,25,1997,3.4,158,185,85.4,2723,717,61,73,83.6,76,81,93.8,14,19,73.7,0,0.0,0.1,0.0,0,16,0,0,13,,Midfielder,Ligue 1
Jean-Daniel Akpa-Akpro,CIV,Monza,30,1992,7.8,220,263,83.7,3557,826,113,128,88.3,95,104,91.3,12,15,80.0,0,0.1,0.2,-0.1,1,14,0,0,10,,Midfielder,Serie A
David Akpan Ankeye,NGA,Genoa,21,2002,0.6,8,9,88.9,85,20,2,3,66.7,3,3,100.0,0,0,0,0,0.0,0.4,0.0,0,0,1,0,1,,Forward,Serie A
Kevin Akpoguma,NGA,Hoffenheim,28,1995,12.2,611,711,85.9,10584,3879,275,302,91.1,277,307,90.2,50,79,63.3,0,0.3,0.4,-0.3,5,71,2,0,55,,Defender,Bundesliga
David Alaba,AUT,Real Madrid,31,1992,12.8,810,904,89.6,12977,4997,447,464,96.3,297,330,90.0,49,84,58.3,1,0.7,0.8,+0.3,10,56,5,0,51,,Defender,La Liga
Luis Alberto,ESP,Lazio,30,1992,25.7,1303,1679,77.6,20459,6568,711,797,89.2,442,538,82.2,104,239,43.5,7,4.7,4.8,+2.3,64,172,48,4,212,,Midfielder,Serie A
Raúl Albiol,ESP,Villarreal,37,1985,22.6,1095,1272,86.1,22569,8497,295,325,90.8,663,714,92.9,130,206,63.1,1,0.8,0.6,+0.2,3,64,1,0,62,,Defender,La Liga
Thiago Alcántara,ESP,Liverpool,32,1991,0.1,7,10,70.0,130,30,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,,Midfielder,Premier League
Carlos Alcaraz,ARG,Juventus,20,2002,4.2,143,165,86.7,2573,754,68,79,86.1,56,62,90.3,17,19,89.5,1,0.1,0.4,+0.9,2,20,4,0,27,,Midfielder,Serie A
Rubén Alcaraz,ESP,Cádiz,32,1991,34.8,1271,1582,80.3,23608,6666,577,637,90.6,487,558,87.3,167,303,55.1,1,1.4,1.6,-0.4,23,151,16,3,154,,Midfielder,La Liga
Omar Alderete,PAR,Getafe,26,1996,24.4,678,1056,64.2,16564,7319,155,199,77.9,351,441,79.6,167,384,43.5,1,1.0,0.8,0.0,13,98,14,1,98,,Defender,La Liga
Iván Alejo,ESP,Cádiz,28,1995,18.8,245,481,50.9,4241,1711,117,163,71.8,70,147,47.6,39,104,37.5,2,1.3,2.8,+0.7,16,17,25,22,31,,Midfielder,La Liga
Carles Aleñá,ESP,Getafe,25,1998,11.3,308,396,77.8,5315,1146,144,169,85.2,114,138,82.6,38,59,64.4,1,1.6,1.0,-0.6,18,31,3,2,23,,Midfielder,La Liga
Trent Alexander-Arnold,ENG,Liverpool,24,1998,23.9,1553,2062,75.3,30386,12434,676,734,92.1,607,762,79.7,244,495,49.3,4,7.2,6.1,-3.2,64,202,57,18,205,,Defender,Premier League
Aboubacar Ali,FRA,Strasbourg,17,2006,1.4,22,34,64.7,287,51,14,19,73.7,7,12,58.3,0,0,0,1,0.1,0.1,+0.9,1,4,1,0,3,Forward,Midfielder,Ligue 1
Mohamed Ali Cho,FRA,Real Sociedad,19,2004,2.8,38,66,57.6,502,124,23,32,71.9,12,18,66.7,1,9,11.1,0,0.1,0.3,-0.1,1,1,0,0,3,Midfielder,Forward,La Liga
Mohamed Ali Cho,FRA,Nice,19,2004,9.6,193,268,72.0,3014,731,111,133,83.5,66,90,73.3,11,27,40.7,2,2.0,1.4,0.0,14,10,11,2,25,,Forward,Ligue 1
Faride Alidou,GER,Köln,22,2001,14.2,196,305,64.3,3211,831,97,134,72.4,69,100,69.0,20,41,48.8,0,0.6,0.7,-0.6,14,14,7,3,33,Midfielder,Forward,Bundesliga
Nabil Alioui,FRA,Le Havre,24,1999,11.2,228,358,63.7,3856,1464,118,151,78.1,64,92,69.6,35,83,42.2,1,2.2,2.5,-1.2,24,35,15,3,43,Forward,Midfielder,Ligue 1
Alisson,BRA,Liverpool,30,1992,28.0,985,1142,86.3,21428,13147,238,239,99.6,597,607,98.4,147,284,51.8,0,0.0,0.0,0.0,1,8,0,0,5,,Goalkeeper,Premier League
Tadeo Allende,ARG,Celta Vigo,24,1999,3.7,60,98,61.2,900,309,39,52,75.0,12,22,54.5,5,8,62.5,0,0.4,0.2,-0.4,2,5,2,1,7,Forward,Midfielder,La Liga
Jim Allevinah,GAB,Clermont Foot,28,1995,20.7,589,743,79.3,8314,2195,321,375,85.6,206,264,78.0,20,42,47.6,1,1.2,1.4,-0.2,20,36,20,8,52,Defender,Midfielder,Ligue 1
Domingos André Ribeiro Almeida,POR,Valencia,23,2000,10.7,315,399,78.9,4701,1257,183,202,90.6,99,124,79.8,23,40,57.5,1,1.2,0.9,-0.2,13,29,10,0,50,Midfielder,Forward,La Liga
Miguel Almirón,PAR,Newcastle Utd,29,1994,21.5,668,801,83.4,9023,1846,411,456,90.1,208,250,83.2,21,38,55.3,1,2.6,2.4,-1.6,24,38,21,3,78,,Forward,Premier League
Pontus Almqvist,SWE,Lecce,24,1999,23.4,351,478,73.4,4689,1071,224,282,79.4,85,120,70.8,17,20,85.0,1,2.7,1.8,-1.7,27,14,12,4,32,Midfielder,Forward,Serie A
Marcos Alonso,ESP,Barcelona,32,1990,2.8,180,214,84.1,2690,803,105,112,93.8,57,67,85.1,8,21,38.1,0,0.5,0.3,-0.5,5,10,3,1,14,,Defender,La Liga
Adrià Altimira,ESP,Villarreal,22,2001,8.6,389,465,83.7,6578,2133,180,208,86.5,170,193,88.1,31,42,73.8,0,0.1,0.2,-0.1,2,25,5,2,29,Midfielder,Defender,La Liga
Sergi Altimira,ESP,Betis,21,2001,6.3,289,320,90.3,4841,1149,142,154,92.2,110,116,94.8,30,36,83.3,0,0.3,0.3,-0.3,4,26,2,0,31,,Midfielder,La Liga
Edson Álvarez,MEX,West Ham,25,1997,26.4,1033,1207,85.6,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,1,0.6,0.8,+0.4,12,87,6,1,91,,Midfielder,Premier League
Gastón Álvarez,URU,Getafe,23,2000,28.2,754,1017,74.1,14087,5016,296,339,87.3,356,438,81.3,86,197,43.7,0,0.6,0.4,-0.6,8,64,5,3,63,,Defender,La Liga
Hugo Álvarez,ESP,Celta Vigo,20,2003,8.5,380,455,83.5,5179,1437,241,263,91.6,117,134,87.3,8,27,29.6,1,1.5,1.8,-0.5,19,19,15,3,34,Defender,Midfielder,La Liga
Julián Álvarez,ARG,Manchester City,23,2000,29.4,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,8,6.4,6.3,+1.6,67,43,41,4,103,Forward,Midfielder,Premier League
Yeray Álvarez,ESP,Athletic Club,28,1995,12.8,572,710,80.6,11772,4181,157,181,86.7,346,378,91.5,63,128,49.2,0,0.1,0.4,-0.1,3,38,3,0,55,,Defender,La Liga
Skelly Alvero,FRA,Lyon,21,2002,4.7,159,193,82.4,2519,738,83,95,87.4,60,75,80.0,12,16,75.0,0,0.0,0.2,0.0,1,17,3,1,27,,Midfielder,Ligue 1
Skelly Alvero,FRA,Werder Bremen,21,2002,1.4,59,76,77.6,1098,274,24,35,68.6,25,27,92.6,8,9,88.9,0,0.0,0.0,0.0,1,3,1,0,9,,Midfielder,Bundesliga
Papa Amadou Diallo,SEN,Metz,19,2004,9.9,167,257,65.0,2726,899,86,121,71.1,64,98,65.3,12,24,50.0,1,0.9,0.7,+0.1,12,17,6,2,30,,Forward,Ligue 1
Selim Amallah,MAR,Valencia,26,1996,6.7,120,164,73.2,1635,456,69,83,83.1,32,46,69.6,7,14,50.0,1,0.3,0.3,+0.7,4,11,3,0,21,Midfielder,Forward,La Liga
Amath,SEN,Mallorca,27,1996,4.4,76,113,67.3,1118,296,42,55,76.4,24,38,63.2,6,8,75.0,0,0.4,0.3,-0.4,3,8,4,2,13,Midfielder,Forward,La Liga
Lorenzo Amatucci,ITA,Fiorentina,19,2004,0.2,22,25,88.0,449,101,6,7,85.7,14,14,100.0,2,2,100.0,0,0.0,0.1,0.0,0,3,0,0,2,,Midfielder,Serie A
Jordan Amavi,FRA,Brest,29,1994,1.0,47,54,87.0,858,247,18,20,90.0,25,29,86.2,4,4,100.0,0,0.0,0.0,0.0,0,2,0,0,2,,Defender,Ligue 1
Zeki Amdouni,SUI,Burnley,22,2000,21.7,396,500,79.2,6229,1153,216,265,81.5,141,161,87.6,24,35,68.6,1,1.4,1.3,-0.4,16,28,9,0,49,,Forward,Premier League
Kelvin Amian,FRA,Nantes,25,1998,8.9,268,350,76.6,4336,1782,142,159,89.3,100,127,78.7,22,45,48.9,1,0.6,0.7,+0.4,5,26,4,2,28,,Defender,Ligue 1
Bruno Amione,ARG,Hellas Verona,21,2002,6.4,217,273,79.5,3776,1390,83,99,83.8,114,132,86.4,15,33,45.5,0,0.0,0.0,0.0,1,11,0,0,17,,Defender,Serie A
Michael Amir Murillo,PAN,Marseille,27,1996,11.1,492,602,81.7,8248,2497,220,257,85.6,222,268,82.8,35,54,64.8,2,1.2,1.2,+0.8,7,26,8,2,35,,Defender,Ligue 1
Nadiem Amiri,GER,Mainz 05,26,1996,14.6,567,798,71.1,10700,4288,247,291,84.9,205,263,77.9,94,201,46.8,4,4.3,4.1,-0.3,52,70,17,3,88,,Midfielder,Bundesliga
Nadiem Amiri,GER,Leverkusen,26,1996,1.0,92,100,92.0,1039,238,70,72,97.2,17,19,89.5,1,1,100.0,0,0.0,0.1,0.0,1,8,2,0,6,,Midfielder,Bundesliga
Kofi Amoako,GER,Wolfsburg,18,2005,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,,Midfielder,Bundesliga
Sofyan Amrabat,MAR,Manchester Utd,26,1996,10.4,578,664,87.0,10308,2747,244,274,89.1,264,296,89.2,56,67,83.6,0,0.3,0.4,-0.3,6,62,6,1,66,Defender,Midfielder,Premier League
Joachim Andersen,DEN,Crystal Palace,27,1996,37.9,1731,2209,78.4,37874,14700,488,559,87.3,950,1041,91.3,281,547,51.4,3,2.8,2.3,+0.2,20,171,17,8,147,,Defender,Premier League
Elliot Anderson,SCO,Newcastle Utd,20,2002,11.4,370,460,80.4,5041,1322,241,274,88.0,108,130,83.1,8,27,29.6,2,1.9,1.2,+0.1,15,36,12,0,57,Forward,Midfielder,Premier League
Felipe Anderson,BRA,Lazio,30,1993,30.8,1012,1336,75.7,14375,3827,601,690,87.1,320,411,77.9,47,96,49.0,6,6.3,4.7,-0.3,42,66,50,4,126,Midfielder,Forward,Serie A
Benjamin André,FRA,Lille,32,1990,28.6,1598,1919,83.3,26448,7329,751,860,87.3,648,733,88.4,123,199,61.8,0,1.3,2.2,-1.3,19,173,9,2,180,,Midfielder,Ligue 1
Komnen Andrić,SRB,Clermont Foot,28,1995,1.9,45,59,76.3,600,72,26,33,78.8,15,18,83.3,1,2,50.0,0,0.2,0.1,-0.2,4,4,1,0,5,,Forward,Ligue 1
Robert Andrich,GER,Leverkusen,28,1994,18.8,1346,1494,90.1,20529,6451,749,789,94.9,487,542,89.9,74,105,70.5,2,1.8,2.2,+0.2,22,117,19,3,97,Defender,Midfielder,Bundesliga
Miguel Ángel Rubio,ESP,Granada,25,1998,17.3,622,775,80.3,12049,4316,201,229,87.8,357,405,88.1,58,120,48.3,0,0.1,0.1,-0.1,2,24,3,0,27,,Defender,La Liga
Angeliño,ESP,Roma,26,1997,12.7,546,715,76.4,9819,3457,257,285,90.2,221,284,77.8,62,123,50.4,1,1.6,1.5,-0.6,19,36,21,13,40,,Defender,Serie A
Fabrizio Angileri,ARG,Getafe,29,1994,1.8,68,103,66.0,1143,377,30,38,78.9,25,36,69.4,8,18,44.4,0,1.3,0.9,-1.3,4,4,4,3,7,Midfielder,Defender,La Liga
Jaidon Anthony,ENG,Bournemouth,23,1999,1.7,30,45,66.7,453,139,17,20,85.0,10,14,71.4,1,6,16.7,0,0.0,0.0,0.0,0,3,1,0,8,,Forward,Premier League
Waldemar Anton,GER,Stuttgart,27,1996,32.1,2330,2624,88.8,41479,15026,904,955,94.7,1251,1342,93.2,143,260,55.0,3,1.0,1.5,+2.0,9,163,7,2,172,,Defender,Bundesliga
Michail Antonio,JAM,West Ham,33,1990,18.8,180,308,58.4,2635,626,111,154,72.1,48,90,53.3,13,26,50.0,2,0.9,1.3,+1.1,8,13,7,2,22,,Forward,Premier League
Antony,BRA,Manchester Utd,23,2000,14.7,468,595,78.7,6175,1608,295,348,84.8,130,153,85.0,16,30,53.3,1,2.8,1.9,-1.8,22,26,29,3,64,,Forward,Premier League
